"Job Title","Department","2015 Earnings"
"APPRENTICE LANDSCAPE ARCHITECT","PARK PLANNING & DEVELOPMENT","$67,969.02"
"ELEC INSTRUMENT & CONTROL SPEC","UT WTR RECLAMA & BIOSOLIDS DIV","$67,947.27"
"SR ENVIRONMENTAL PLANNER","ENVIRONMENTAL SERVICES","$67,872.85"
"LEAD RANGER","NATURAL AREAS","$67,834.47"
"TRAFFIC ENGINEERING TECH III","TRAFFIC","$67,820.35"
"ENVIRONMENTAL PROGRAM MANAGER","NATURAL AREAS","$67,809.12"
"MECHANIC","OPERATION SERVICES","$67,754.59"
"WATER UTILITY MAINT OPERATOR","UT DISTRIBUTION SYSTEM DIV","$67,667.67"
"CREW CHIEF","PARKS","$67,657.16"
"MECHANIC","OPERATION SERVICES","$67,647.95"
"LEGAL EXEC ADMIN ASST","CITY ATTORNEY'S OFFICE","$67,581.85"
"CREW CHIEF","UT COLLECTION SYSTEM DIV","$67,574.32"
"ELECTRIC UTILITY PROJECT MGR","UT ELECTRIC SYSTEMS ENG DIV","$67,523.25"
"COMM/PUBLIC INVOLVMNT DIRECTOR","COMM. & PUBLIC INVOLVEMENT","$67,468.97"
"LINE CREW CHIEF","ELECTRIC FIELD SERVICES","$67,456.42"
"POLICE OFFICER","PATROL","$67,420.01"
"FINANCIAL COORDINATOR","TRAFFIC","$67,415.68"
"CREW CHIEF","PARKS","$67,390.23"
"CHANGE MANAGEMENT ANALYST","INFORMATION TECHNOLOGY","$67,361.68"
"SR BUYER-Inactive","UTILITY FINANCIAL OPERATIONS","$67,314.95"
"WATER UTIL FIELD OPNS SUPNTNDT","UT DISTRIBUTION SYSTEM DIV","$67,290.59"
"CREW CHIEF","UT DISTRIBUTION SYSTEM DIV","$67,102.37"
"WATER TRTMNT PLANT SUPERINTNDT","UT WATER PRODUCTION DIV","$67,079.60"
"CONSTRUCTION INSPECTOR","STREETS","$66,931.38"
"CITY FORESTER - Inactive","PARKS","$66,805.31"
"CREW CHIEF","UT WATER METERS DIV","$66,776.39"
"MAINTENANCE SPECIALIST","UT WTR RECLAMA & BIOSOLIDS DIV","$66,773.51"
"HEALTH AND SAFETY SPECIALIST","SAFETY, SECURITY, & RISK MGMT.","$66,679.50"
"REAL ESTATE SPECIALIST III","OPERATION SERVICES","$66,667.78"
"WATER UTIL FIELD OPNS SUPNTNDT","UT WATER METERS DIV","$66,652.18"
"CRIME ANALYST","OFFICE OF THE CHIEF","$66,629.00"
"FLEET MAINTENANCE TECHNICIAN","POUDRE FIRE AUTHORITY","$66,579.86"
"PLANT OPERATOR","UT WTR RECLAMA & BIOSOLIDS DIV","$66,562.21"
"PLANT OPERATOR","UT WTR RECLAMA & BIOSOLIDS DIV","$66,533.71"
"RECREATION SUPERVISOR","RECREATION","$66,506.44"
"ROAD SUPERVISOR","TRANSFORT / DIAL-A-RIDE","$66,435.79"
"STREETS EQUIPMENT OPERATOR II","STREETS","$66,310.59"
"WATER SUPPLY CONTROLLER","UT WATER PRODUCTION DIV","$66,304.76"
"CREW CHIEF","NATURAL AREAS","$66,248.36"
"HUMAN RESOURCES REPRESENTATIVE","HUMAN RESOURCES","$66,231.40"
"CRIME PREVENTION SPECIALIST","PATROL","$66,126.56"
"FINANCE COORDINATOR/DDA","DOWNTOWN DEVELOPMENT AUTHORITY","$66,109.91"
"CUST SUPPORT BUSINESS ANALYST","UTILITIES CUSTOMER CONNECTIONS","$66,006.55"
"PLANT OPERATOR","UT WTR RECLAMA & BIOSOLIDS DIV","$65,991.39"
"CREW CHIEF","PARKS","$65,970.19"
"ENVIRO ED/PUBLIC INVOLV COORD","NATURAL AREAS","$65,916.34"
"FINANCIAL COORDINATOR","UTILITY FINANCIAL OPERATIONS","$65,904.34"
"CDBG/HOME PROGRAM ADMINSTR","SOCIAL SUSTAINABILITY","$65,892.64"
"MAINTENANCE SPECIALIST","UT WTR RECLAMA & BIOSOLIDS DIV","$65,852.43"
"WATER UTIL FIELD OPNS SUPNTNDT","UT COLLECTION SYSTEM DIV","$65,849.43"
"METER READER SUPERVISOR","UT STANDARDS ENGINEERING DIV","$65,825.69"
"PUBLIC RELATIONS COORDINATOR","COMM. & PUBLIC INVOLVEMENT","$65,750.00"
"CHEMIST","UT ENVIRONMENTAL SERVICES DIV","$65,687.14"
"MAINTENANCE PLANNER/SCHEDULER","OPERATION SERVICES","$65,615.99"
"UTILTY BLDG/HVAC MTNANCE COORD","SAFETY AND SECURITY","$65,535.36"
"ENVIRONMENTAL PLANNER","ENVIRONMENTAL SERVICES","$65,512.50"
"BUILDING INSPECTOR-Inactive","COMM DEV & NEIGHBORHOOD SVCS","$65,505.88"
"OUTREACH SERVICES MGR - LIB","LIBRARY DISTRICT","$65,497.50"
"BUILDING INSPECTOR-Inactive","COMM DEV & NEIGHBORHOOD SVCS","$65,490.88"
"SOCIAL SUSTAINABILITY SPEC","SOCIAL SUSTAINABILITY","$65,483.90"
"RECREATION AREA MANAGER","RECREATION","$65,437.98"
"COMMUNITY SERVICE OFFICER","PATROL","$65,398.40"
"ENVIRONMENTAL PLANNER","NATURAL AREAS","$65,368.06"
"CITY PLANNER","COMM DEV & NEIGHBORHOOD SVCS","$65,328.92"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$65,282.89"
"RECRUITMENT SPECIALIST","HUMAN RESOURCES","$65,220.34"
"GIS PROGRAMMER/ANALYST","INFORMATION TECHNOLOGY","$65,158.71"
"CREW CHIEF","UT DISTRIBUTION SYSTEM DIV","$65,071.86"
"FINANCIAL ANALYST","TRANSFORT / DIAL-A-RIDE","$65,062.31"
"TRANSIT PLANNER","TRANSFORT / DIAL-A-RIDE","$65,022.83"
"FINANCIAL ANALYST","OFFICE OF THE CHIEF","$65,017.15"
"TRAFFIC SYSTEMS ENGINEER","TRAFFIC","$64,963.60"
"ZONING INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","$64,957.20"
"MATERIAL CONTROL SUPERVISOR","UT STANDARDS ENGINEERING DIV","$64,890.97"
"COMM & ADMIN MGR-Inactive","TRANSFORT / DIAL-A-RIDE","$64,857.88"
"CUSTOMER SERVICE SUPERVISOR","PARKING","$64,847.72"
"ENVIRONMENTAL PLANNER","UTILITIES CUSTOMER CONNECTIONS","$64,833.02"
"BLDG CONTROL SYSTEM MAINT SPEC","OPERATION SERVICES","$64,820.90"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$64,802.05"
"ROAD SUPERVISOR","TRANSFORT / DIAL-A-RIDE","$64,797.94"
"INDUSTRIAL PRETREATMENT SPEC","UT WTR RECLAMA & BIOSOLIDS DIV","$64,653.00"
"HUMAN RESOURCES DIRECTOR","HUMAN RESOURCES","$64,543.55"
"REAL ESTATE SPECIALIST III","OPERATION SERVICES","$64,471.49"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$64,464.49"
"EQUIPMENT OPERATOR SPECIALIST","STREETS","$64,399.84"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$64,319.10"
"SR ACCOUNTANT-Inactive","ACCOUNTING AND TREASURY","$64,293.25"
"BENEFITS ANALYST","HUMAN RESOURCES","$64,139.69"
"ENVIRONMENTAL REGULATORY SPEC","UT ENVIRO REGULATORY AFFAIRS","$64,050.28"
"CIVIL ENGINEER I","ENGINEERING","$64,018.10"
"CRIME ANALYST","PATROL","$64,004.36"
"FIREFIGHTER II - 56 HR/WK","POUDRE FIRE AUTHORITY","$63,993.99"
"POLICE OFFICER","PATROL","$63,981.60"
"POLICE OFFICER","PATROL","$63,968.64"
"TELECOM SYS & SVCS ADMNISTRTOR","INFORMATION TECHNOLOGY","$63,931.78"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$63,841.81"
"TRAFFIC ENGINEERING TECH II","TRAFFIC","$63,755.02"
"CITY PLANNER","COMM DEV & NEIGHBORHOOD SVCS","$63,622.14"
"UTILITIES ADMIN SERVICES SUPV","UTILITIES MANAGEMENT","$63,220.46"
"ASST SUPRNTENDNT-GOLF-Inactive","PARKS","$63,177.66"
"CONSTRUCTION INSPECTOR","ENGINEERING","$63,042.03"
"CHEMIST","UT WATER PRODUCTION DIV","$63,021.80"
"MECHANIC","OPERATION SERVICES","$62,953.79"
"SR TRANSPORTATION PLANNER","FC MOVES","$62,908.96"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$62,881.72"
"CONSTRUCTION INSPECTOR","ENGINEERING","$62,803.39"
"SR ASSISTANT CITY ATTORNEY","CITY ATTORNEY'S OFFICE","$62,689.80"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$62,669.53"
"NATURAL AREAS TRAILS RANGER","NATURAL AREAS","$62,655.36"
"MAINTENANCE SPECIALIST","UT WATER PRODUCTION DIV","$62,648.65"
"LIBRARIAN","LIBRARY DISTRICT","$62,605.89"
"MECHANIC","OPERATION SERVICES","$62,589.02"
"ELECTRIC METER TECH","UT STANDARDS ENGINEERING DIV","$62,532.60"
"RECREATION SUPERVISOR","RECREATION","$62,455.50"
"POLICE OFFICER","INVESTIGATIONS","$62,454.29"
"COMM & PUB RLTNS MGR - LIBRARY","LIBRARY DISTRICT","$62,453.67"
"PLANT OPERATOR","UT WATER PRODUCTION DIV","$62,433.05"
"WATER UTILITY MAINT OPERATOR","UT DRAINAGE SYSTEM DIV","$62,383.19"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$62,363.32"
"PLANT OPERATOR","UT WTR RECLAMA & BIOSOLIDS DIV","$62,344.19"
"EXEC ASST TO CITY MGR-Inactive","CITY MANAGER'S OFFICE","$62,173.22"
"SYSTEMS & PERFORMANCE ANALYST","TRANSFORT / DIAL-A-RIDE","$62,141.10"
"PARK RANGER","PARKS","$62,108.67"
"VICTIM ADVOCATE","INVESTIGATIONS","$62,054.71"
"COMMUNITY SERVICE OFFICER","PATROL","$62,039.76"
"POLICE SERGEANT","PATROL","$62,039.46"
"ELEC INSTRUMENT & CONTROL SPEC","UT WTR RECLAMA & BIOSOLIDS DIV","$62,029.43"
"FINANCIAL COORDINATOR","STREETS","$61,982.75"
"ADMINISTRATIVE SUPPORT SUPV","HUMAN RESOURCES","$61,965.24"
"ENVIRONMENTAL PLANNER","ENVIRONMENTAL SERVICES","$61,933.84"
"TRAFFIC CONTROL SUPERVISOR","STREETS","$61,911.89"
"CROSS CONNECTION CONTROL TECH","UT DISTRIBUTION SYSTEM DIV","$61,880.30"
"SPECIAL PROJECTS MANAGER","UT WATER UTILITIES ENGINEERING","$61,745.82"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$61,610.65"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$61,456.09"
"ASST SUPRNTENDNT-GOLF-Inactive","PARKS","$61,401.24"
"PROPERTY EVIDENCE TECHNICIAN","POLICE INFORMATION SERVICES","$61,164.31"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$61,151.01"
"LEAD CUSTOMER SERVICE REP","UTILITIES CUSTOMER CONNECTIONS","$61,103.91"
"CIVIL ENGINEER II","ENGINEERING","$60,984.92"
"FACILITIES LOCATE SUPERVISOR","UT ELECTRIC SYSTEMS ENG DIV","$60,962.25"
"PC HARDWR/SOFTWRE SPECIALIST","INFORMATION TECHNOLOGY","$60,959.63"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$60,843.02"
"PC HARDWR/SOFTWRE SPECIALIST","INFORMATION TECHNOLOGY","$60,749.97"
"NATURAL AREAS TRAILS RANGER","NATURAL AREAS","$60,725.63"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$60,658.52"
"NATURAL AREAS TRAILS RANGER","NATURAL AREAS","$60,590.36"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$60,567.96"
"POLICE SERVICES TECHNICIAN","POLICE INFORMATION SERVICES","$60,447.52"
"COMMUNITY SERVICE OFFICER","PATROL","$60,336.60"
"CONSTRUCTION INSPECTOR","STREETS","$60,108.50"
"MECHANIC","OPERATION SERVICES","$60,060.35"
"CALL CENTER SUPV - LIBRARY","LIBRARY DISTRICT","$60,057.94"
"PARK RANGER","PARKS","$60,052.60"
"PAYROLL/ACCTS PAYABLE SUPV","ACCOUNTING AND TREASURY","$59,979.17"
"ASST SUPRNTENDNT-GOLF-Inactive","PARKS","$59,972.70"
"LIBRARIAN","LIBRARY DISTRICT","$59,956.90"
"LEAD CUSTOMER SERVICE REP","UTILITIES CUSTOMER CONNECTIONS","$59,944.21"
"PLANT OPERATOR","UT WTR RECLAMA & BIOSOLIDS DIV","$59,941.27"
"NATURAL AREAS TRAILS RANGER","NATURAL AREAS","$59,888.44"
"STREETS EQUIPMENT OPERATOR II","STREETS","$59,854.61"
"POLICE INVESTIGATIVE AIDE","INVESTIGATIONS","$59,851.14"
"MAINT TECH-LANDSCAPE","ELECTRIC FIELD SERVICES","$59,748.26"
"TECHNICAL PRODUCTION DIRECTOR","CULTURAL SERVICES","$59,720.96"
"DEPUTY CITY CLERK","CITY CLERK'S OFFICE","$59,637.99"
"FINANCIAL COORDINATOR","CULTURAL SERVICES","$59,621.16"
"WELLNESS PROGRAM COORDINATOR","HUMAN RESOURCES","$59,586.94"
"POLICE INVESTIGATIVE AIDE","INVESTIGATIONS","$59,574.80"
"NATURAL AREAS TRAILS RANGER","NATURAL AREAS","$59,544.98"
"MECHANIC","OPERATION SERVICES","$59,532.98"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$59,519.80"
"RESOURCE RECOVERY SPECIALIST","UT WTR RECLAMA & BIOSOLIDS DIV","$59,488.44"
"OPERATIONS MANAGER-Inactive","TRANSFORT / DIAL-A-RIDE","$59,429.01"
"CDBG/HOME PROGRAM ADMINSTR","SOCIAL SUSTAINABILITY","$59,372.71"
"CITY PLANNER","COMM DEV & NEIGHBORHOOD SVCS","$59,342.83"
"ENVIRO ED/PUBLIC INVOLV COORD","NATURAL AREAS","$59,303.08"
"WATER SVCS SAFETY & TRNG SUPV","SAFETY AND SECURITY","$59,301.63"
"REVENUE/LICENSING AGENT","SALES TAX","$59,212.51"
"RECREATION COORDINATOR","RECREATION","$59,211.01"
"CITY PLANNER","COMM DEV & NEIGHBORHOOD SVCS","$59,207.46"
"TRAFFIC EQUIPMENT OPERATOR II","TRAFFIC","$59,203.60"
"WATER UTILITY MAINT OPERATOR","UT COLLECTION SYSTEM DIV","$59,122.28"
"AFFORDABLE HOUSNG PROG ADMNSTR","SOCIAL SUSTAINABILITY","$59,070.01"
"ZONING INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","$59,021.20"
"ASST CITY FORESTER-Inactive","PARKS","$58,975.81"
"LIBRARIAN","LIBRARY DISTRICT","$58,970.35"
"DATABASE ANALYST","INFORMATION TECHNOLOGY","$58,965.70"
"FINANCIAL COORDINATOR","ENGINEERING","$58,903.79"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$58,903.78"
"TRAFFIC SIGNAL TECH I","TRAFFIC","$58,897.60"
"ADMINISTRATIVE SUPPORT SUPV","OPERATION SERVICES","$58,876.17"
"MECHANIC","OPERATION SERVICES","$58,808.59"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$58,785.00"
"RECREATION COORDINATOR","RECREATION","$58,731.76"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$58,601.12"
"NEIGHBORHOOD DEV REV LIAISON","COMM DEV & NEIGHBORHOOD SVCS","$58,597.67"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","$58,591.39"
"EMERGENCY MANAGEMENT SPEC","POUDRE FIRE AUTHORITY","$58,588.14"
"RECREATION COORDINATOR","RECREATION","$58,577.48"
"SR ASSISTANT CITY ATTORNEY","CITY ATTORNEY'S OFFICE","$58,462.58"
"INSTRUMENT/ELECTRIC TECH","UT WATER PRODUCTION DIV","$58,453.28"
"TRAFFIC EQUIPMENT OPERATOR II","TRAFFIC","$58,399.91"
"SR COMMUNICATIONS & MKTG SPEC","UTILITIES CUSTOMER CONNECTIONS","$58,355.83"
"LIBRARIAN","LIBRARY DISTRICT","$58,349.28"
"LIBRARIAN","LIBRARY DISTRICT","$58,349.28"
"MECHANIC","OPERATION SERVICES","$58,313.78"
"PARKING ENFORCEMENT SUPERVISOR","PARKING","$58,311.22"
"GRAPHICS SPECIALIST-Inactive","COMM. & PUBLIC INVOLVEMENT","$58,308.42"
"POLICE OFFICER","PATROL","$58,236.71"
"ROAD SUPERVISOR","TRANSFORT / DIAL-A-RIDE","$58,233.43"
"FORESTRY SUPERVISOR-Inactive","PARKS","$58,222.52"
"FRAUD INVESTIGATIONS SPECIALIS","INVESTIGATIONS","$58,220.37"
"PERSONNEL SPECIALIST","HUMAN RESOURCES","$58,180.72"
"RECREATION COORDINATOR","RECREATION","$58,159.50"
"PROPERTY EVIDENCE TECHNICIAN","POLICE INFORMATION SERVICES","$57,949.88"
"LINE GROUNDWORKER","ELECTRIC FIELD SERVICES","$57,928.68"
"BUYER","PURCHASING","$57,893.00"
"MAINTENANCE SPECIALIST","UT WTR RECLAMA & BIOSOLIDS DIV","$57,868.42"
"LIBRARIAN","LIBRARY DISTRICT","$57,815.22"
"PLANS ANALYST","COMM DEV & NEIGHBORHOOD SVCS","$57,701.44"
"STREETS EQUIPMENT OPERATOR II","STREETS","$57,698.50"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$57,641.09"
"SFTY, SECRTY TRNG MGR-Inactive","TRANSFORT / DIAL-A-RIDE","$57,525.83"
"UTILITIES FINANCIAL OPS MGR","UTILITY FINANCIAL OPERATIONS","$57,481.08"
"ENGINEERING TECHNICIAN","ENGINEERING","$57,464.36"
"CIRCULATION SUPV - LIBRARY","LIBRARY DISTRICT","$57,440.90"
"WATER UTILITY MAINT OPERATOR","UT DISTRIBUTION SYSTEM DIV","$57,408.85"
"NETWORK SPECIALIST - LIB","LIBRARY DISTRICT","$57,289.73"
"CONSTRUCTION INSPECTOR","ENGINEERING","$57,271.50"
"PROPERTY EVIDENCE TECHNICIAN","POLICE INFORMATION SERVICES","$57,216.37"
"WATER UTILITY MAINT OPERATOR","UT DISTRIBUTION SYSTEM DIV","$57,183.33"
"WATER UTILITY MAINT OPERATOR","UT DRAINAGE SYSTEM DIV","$57,104.23"
"BUILDING INSPECTOR-Inactive","COMM DEV & NEIGHBORHOOD SVCS","$57,082.51"
"MECHANIC","OPERATION SERVICES","$57,041.04"
"TRAFFIC SIGNAL TECH I","TRAFFIC","$57,017.25"
"TRAFFIC CONTROL SUPERVISOR","STREETS","$56,890.26"
"UTIL FINANCIAL OPS MGR-Inactiv","UTILITY FINANCIAL OPERATIONS","$56,890.18"
"POLICE INVESTIGATIVE AIDE","INVESTIGATIONS","$56,888.57"
"LIBRARIAN","LIBRARY DISTRICT","$56,786.32"
"WATER UTILITY MAINT OPERATOR","UT DISTRIBUTION SYSTEM DIV","$56,771.44"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$56,755.71"
"PC HARDWR/SOFTWRE SPECIALIST","INFORMATION TECHNOLOGY","$56,742.54"
"ADMINISTRATIVE ASST - LIB","LIBRARY DISTRICT","$56,724.50"
"CUSTOMER ACCOUNTS MANAGER","UTILITIES CUSTOMER CONNECTIONS","$56,699.97"
"ASSISTANT CITY ATTORNEY I","CITY ATTORNEY'S OFFICE","$56,680.99"
"STREETS EQUIPMENT OPERATOR II","STREETS","$56,647.01"
"CONSTRUCTION INSPECTOR","STREETS","$56,638.60"
"ROAD SUPERVISOR","TRANSFORT / DIAL-A-RIDE","$56,590.73"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$56,581.68"
"WATER METER SYSTEMS OPERATOR","UT WATER METERS DIV","$56,407.94"
"PARKS/GROUNDS TECH","PARKS","$56,398.68"
"WARRANTS TECHNICIAN","POLICE INFORMATION SERVICES","$56,398.30"
"ADMIN ASST & BOARD COORD","POUDRE FIRE AUTHORITY","$56,271.87"
"MECHANIC","OPERATION SERVICES","$56,258.76"
"UTILITY SERVICES COORDINATOR","UTILITIES CUSTOMER CONNECTIONS","$56,137.88"
"ENGINEERING TECHNICIAN","UT DRAINAGE SYSTEM DIV","$56,131.74"
"WATER UTILITY MAINT OPERATOR","UT COLLECTION SYSTEM DIV","$56,127.77"
"MUNICIPAL COURT PROSECUTOR","CITY ATTORNEY'S OFFICE","$56,094.00"
"CREW CHIEF","PARKS","$56,042.28"
"MECHANIC","OPERATION SERVICES","$56,029.48"
"SURVEY PARTY CHIEF","ENGINEERING","$55,928.95"
"PARKS/GROUNDS TECH","PARKS","$55,838.46"
"PLANT OPERATOR","UT WATER PRODUCTION DIV","$55,806.96"
"WATER UTILITY MAINT OPERATOR","UT DISTRIBUTION SYSTEM DIV","$55,735.06"
"WATERSHED TECHNICIAN","UT WATER PRODUCTION DIV","$55,634.90"
"FACILITY MAINTENANCE TECH- LIB","LIBRARY DISTRICT","$55,584.17"
"SR ENVIRONMENTAL PLANNER","COMM DEV & NEIGHBORHOOD SVCS","$55,577.84"
"UTILITY BILLING SUPERVISOR","UTILITIES CUSTOMER CONNECTIONS","$55,519.75"
"RESOURCE RECOVERY SPECIALIST","UT WTR RECLAMA & BIOSOLIDS DIV","$55,517.00"
"STREETS EQUIPMENT OPERATOR I","STREETS","$55,226.33"
"PARKS/GROUNDS TECH","PARKS","$55,206.91"
"FIREFIGHTER INTRO - 56 HR/WK","POUDRE FIRE AUTHORITY","$55,050.23"
"ADMINISTRATIVE SECRETARY II","POUDRE FIRE AUTHORITY","$55,035.82"
"ELECTRIC DIST SAFETY SUPV","ELECTRIC FIELD SERVICES","$55,026.17"
"ACCOUNTANT-Inactive","ACCOUNTING AND TREASURY","$54,994.42"
"LIBRARIAN","LIBRARY DISTRICT","$54,959.98"
"PARKS/GROUNDS TECH","PARKS","$54,921.10"
"WATER METER TECHNICIAN","UT WATER METERS DIV","$54,901.33"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","$54,900.09"
"POLICE OFFICER","PATROL","$54,803.31"
"POLICE INVESTIGATIVE AIDE","INVESTIGATIONS","$54,773.90"
"NATURAL AREAS TECHNICIAN","NATURAL AREAS","$54,725.30"
"NEIGHBORHOOD SERVICES MANAGER","COMM DEV & NEIGHBORHOOD SVCS","$54,712.86"
"WATER METER SYSTEMS OPERATOR","UT WATER METERS DIV","$54,695.93"
"COMM DEV & NEIGH SVCS DIRECTOR","COMM DEV & NEIGHBORHOOD SVCS","$54,661.78"
"POLICE OFFICER","PATROL","$54,657.30"
"CODE INSPECTOR","POUDRE FIRE AUTHORITY","$54,635.45"
"WATER UTILITY MAINT OPERATOR","UT DISTRIBUTION SYSTEM DIV","$54,593.31"
"WATER CONSERVATION SPECIALIST","UTILITIES CUSTOMER CONNECTIONS","$54,592.29"
"PUBLICITY/MARKETING TECH","CITY CLERK'S OFFICE","$54,578.11"
"NATURAL AREAS TECHNICIAN","NATURAL AREAS","$54,562.27"
"LIBRARY ASSISTANT - TECH SVCS","LIBRARY DISTRICT","$54,542.80"
"LIBRARY ASSISTANT - TECH SVCS","LIBRARY DISTRICT","$54,542.80"
"LIBRARY ASSISTANT","LIBRARY DISTRICT","$54,542.80"
"PARKS/GROUNDS TECH","PARKS","$54,469.31"
"CONSTRUCTION INSPECTOR","ENGINEERING","$54,464.43"
"GIS PROGRAMMER/ANALYST","INFORMATION TECHNOLOGY","$54,459.75"
"MAINTENANCE TECH - BUILDING","OPERATION SERVICES","$54,458.61"
"IT SUPPORT SPECIALIST","POUDRE FIRE AUTHORITY","$54,407.30"
"FINANCIAL COORDINATOR","CITY MANAGER'S OFFICE","$54,384.03"
"WATER UTILITY MAINT OPERATOR","UT DISTRIBUTION SYSTEM DIV","$54,333.28"
"COMPLIANCE INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","$54,310.70"
"ADMINISTRATIVE ASSISTANT","POUDRE FIRE AUTHORITY","$54,294.27"
"UTILITY FACILITY LOCATOR","UT ELECTRIC SYSTEMS ENG DIV","$54,246.05"
"STREETS EQUIPMENT OPERATOR II","STREETS","$54,181.56"
"FINANCIAL ANALYST","UTILITY FINANCIAL OPERATIONS","$54,139.98"
"FIELD/TRAINING COORDINATOR","TRANSFORT / DIAL-A-RIDE","$54,107.77"
"ADMINISTRATIVE SUPPORT SUPV","PARKS","$54,082.37"
"CIVIL ENGINEER III","UT WATER UTILITIES ENGINEERING","$54,065.92"
"FACILITY MAINTENANCE TECH","RECREATION","$54,058.30"
"ENGINEERING TECHNICIAN","UT WATER SYSTEMS ENGR DIV","$54,048.68"
"PARKS/GROUNDS TECH","PARKS","$53,997.87"
"PARKS/GROUNDS TECH","PARKS","$53,931.62"
"MUNICIPAL COURT ADMNSTR-Inactv","MUNICIPAL COURT","$53,923.50"
"UTILITY SERVICES COORDINATOR","UTILITIES CUSTOMER CONNECTIONS","$53,837.50"
"CAPTAIN I - 40 HR/WK","POUDRE FIRE AUTHORITY","$53,835.19"
"WATER UTILITY MAINT OPERATOR","UT DISTRIBUTION SYSTEM DIV","$53,834.87"
"BUS OPERATOR","TRANSFORT / DIAL-A-RIDE","$53,818.92"
"NATURAL AREAS TECHNICIAN","NATURAL AREAS","$53,764.31"
"REAL ESTATE SPECIALIST I","OPERATION SERVICES","$53,698.35"
"RECREATION COORDINATOR","RECREATION","$53,628.46"
"PUBLIC RELATIONS COORDINATOR","COMM. & PUBLIC INVOLVEMENT","$53,592.64"
"CUSTODIAL CONTRACT ADMN","OPERATION SERVICES","$53,571.08"
"PARKS/GROUNDS TECH","PARKS","$53,545.33"
"UTILITY FEE/RATE SPECIALIST","UTILITY FINANCIAL OPERATIONS","$53,535.00"
"EXECUTIVE ADMIN ASST-Inactive","CITY MANAGER'S OFFICE","$53,522.70"
"WATER UTILITY MAINT OPERATOR","UT DISTRIBUTION SYSTEM DIV","$53,518.65"
"ADMINISTRATIVE ASSISTANT","PATROL","$53,516.68"
"TRAFFIC ENGINEERING TECH II","TRAFFIC","$53,480.39"
"NATURAL AREAS TECHNICIAN","NATURAL AREAS","$53,455.14"
"MAINTENANCE SPECIALIST","UT WTR RECLAMA & BIOSOLIDS DIV","$53,418.76"
"PUBLIC RELATIONS COORDINATOR","RECREATION","$53,356.72"
"NATURAL AREAS TECHNICIAN","NATURAL AREAS","$53,297.98"
"RECREATION COORDINATOR","RECREATION","$53,255.74"
"GIS MAPPING SPECIALIST","INFORMATION TECHNOLOGY","$53,245.00"
"NATURAL AREAS TRAILS RANGER","NATURAL AREAS","$53,131.03"
"DISPATCH/SCHEDULER","TRANSFORT / DIAL-A-RIDE","$53,071.62"
"FUNDRAISING & MARKETING COORD","CULTURAL SERVICES","$53,028.00"
"WATER RESOURCES ENGINEER","UT WATER RESOURCES DIV","$52,977.98"
"BENEFITS SPECIALIST","HUMAN RESOURCES","$52,974.54"
"MAINT TECH-HVAC-Inactive","OPERATION SERVICES","$52,943.17"
"MAINTENANCE TECH - BUILDING","OPERATION SERVICES","$52,887.57"
"TELECOM TECHNICAL SPECIALIST","INFORMATION TECHNOLOGY","$52,878.60"
"NATURAL AREAS TECHNICIAN","NATURAL AREAS","$52,814.48"
"PUBLICITY MARKETING SPECIALIST","UTILITIES CUSTOMER CONNECTIONS","$52,789.52"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","$52,716.96"
"CREDIT/COLLECTIONS REP","UTILITIES CUSTOMER CONNECTIONS","$52,711.37"
"ADMINISTRATIVE ASSISTANT","OFFICE OF THE CHIEF","$52,674.16"
