"Job Title","Department","2016 Earnings"
"BUILDING INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","$30,576.76"
"BUS OPERATOR","RIDE","$30,408.41"
"LINE GROUNDWORKER/HOURLY","ELECTRIC FIELD SERVICES","$30,407.17"
"HISTORIC PRESERVATION PLANNER","COMM DEV & NEIGHBORHOOD SVCS","$30,324.96"
"BOX OFFICE COORDINATOR-INACTIV","CULTURAL SERVICES","$30,198.97"
"CAMERA RADAR / RED LIGHT CC I","MUNICIPAL COURT","$30,192.75"
"HORTICULTURIST","CULTURAL SERVICES","$30,175.43"
"POLICE SERGEANT","PATROL","$30,132.74"
"MAINTENANCE TECH - HVAC","OPERATION SERVICES","$30,088.47"
"LIBRARY ASSISTANT","LIBRARY DISTRICT","$30,085.97"
"BUS OPERATOR","RIDE","$30,081.45"
"ADMINISTRATIVE CLERK I","HUMAN RESOURCES","$30,007.08"
"LINE GROUNDWORKER/HOURLY","ELECTRIC FIELD SERVICES","$29,899.62"
"FIRE SAFETY INSPECTOR","POUDRE FIRE AUTHORITY","$29,864.26"
"BUS OPERATOR","RIDE","$29,860.86"
"LINE GROUNDWORKER/HOURLY","ELECTRIC FIELD SERVICES","$29,767.28"
"PROGRAM ASSISTANT","CULTURAL SERVICES","$29,586.20"
"UTILITY WORKER / WATER","UT WATER PRODUCTION DIV","$29,548.00"
"UTILITY WORKER / WATER","UT DRAINAGE SYSTEM DIV","$29,307.30"
"MAINTENANCE TECH - ELECTRICIAN","OPERATION SERVICES","$29,256.57"
"BUDGET ANALYST - INACTIVE","BUDGET","$29,191.36"
"ENVIRONMENTAL PLANNER","COMM DEV & NEIGHBORHOOD SVCS","$29,163.61"
"ADMINISTRATIVE SUPPORT II","CITY MANAGER'S OFFICE","$29,154.68"
"FINANCE OFFICER","LIBRARY DISTRICT","$29,103.80"
"CONSTRUCTION INSPECTOR","ENGINEERING","$29,064.49"
"LIBRARY ASSISTANT","LIBRARY DISTRICT","$29,040.91"
"RISK MANAGER","SAFETY, SECURITY, & RISK MGMT.","$29,031.70"
"RISK MANAGEMENT  TECHNICIAN","SAFETY, SECURITY, & RISK MGMT.","$29,002.50"
"UTILITY WORKER / WATER","UT DISTRIBUTION SYSTEM DIV","$28,977.46"
"PC HARDWR/SOFTWRE SPECIALIST","INFORMATION TECHNOLOGY","$28,827.08"
"LIBRARIAN","LIBRARY DISTRICT","$28,742.25"
"EDUCATION SPECIALIST","CULTURAL SERVICES","$28,738.50"
"SERVICE SCHEDULE COORD","UT STANDARDS ENGINEERING DIV","$28,633.20"
"PARKING ENFORCEMENT OFFICER","PARKING","$28,593.77"
"LIBRARIAN","LIBRARY DISTRICT","$28,551.71"
"UTILITY FACILITY LOCATOR","ELECTRIC FIELD SERVICES","$28,401.31"
"NATURAL AREAS-CREW MEMBER","NATURAL AREAS","$28,336.51"
"BUS OPERATOR","RIDE","$28,321.24"
"DEPUTY COURT CLERK I","MUNICIPAL COURT","$28,200.19"
"NATURAL AREAS-CREW MEMBER","NATURAL AREAS","$28,161.02"
"WATERSHED PROGRAM MANAGER","UT WATER PRODUCTION DIV","$27,966.84"
"CUSTOMER SERVICE REP II","RECREATION","$27,863.14"
"UTILITY WORKER / WATER","UT COLLECTION SYSTEM DIV","$27,832.12"
"BUS OPERATOR","RIDE","$27,806.96"
"CONSULTANT","INVESTIGATIONS","$27,634.20"
"ADMINISTRATIVE SUPPORT II","ELECTRIC FIELD SERVICES","$27,586.49"
"BUS OPERATOR","RIDE","$27,503.96"
"ADMINISTRATIVE ASSISTANT","COMM DEV & NEIGHBORHOOD SVCS","$27,461.90"
"ADMINISTRATIVE ASSISTANT","ENVIRONMENTAL SERVICES","$27,399.54"
"POLICE OFFICER","PATROL","$27,398.76"
"POLICE OFFICER","PATROL","$27,398.76"
"FINANCE COORDINATOR/DDA","DOWNTOWN DEVELOPMENT AUTHORITY","$27,386.56"
"LIBRARY ASSISTANT","LIBRARY DISTRICT","$27,273.52"
"BUS OPERATOR","RIDE","$27,081.74"
"INFORMATION TECHNOLOGY MANAGER","LIBRARY DISTRICT","$27,020.72"
"BUS OPERATOR","RIDE","$27,007.85"
"GRAFFITI ABATEMENT COORDINATOR","STREETS","$26,847.72"
"TICKETING & BRAND DEV MANAGER","CULTURAL SERVICES","$26,834.02"
"BUS OPERATOR-INACTIVE","RIDE","$26,818.17"
"ADMINISTRATIVE CLERK II","CULTURAL SERVICES","$26,795.00"
"LIBRARY ASSISTANT","LIBRARY DISTRICT","$26,787.90"
"ADMINISTRATIVE CLERK II","RIDE","$26,705.50"
"BUS OPERATOR","RIDE","$26,628.68"
"POLICY AND PROJECT MANAGER","L&P OPERATIONS SERVICE UNIT","$26,616.68"
"WATER METER SYSTEMS OPERATOR","UT WATER METERS DIV","$26,182.60"
"CUSTOMER SERVICE REP I","CULTURAL SERVICES","$26,172.61"
"ENERGY SERVICES SUPERVISOR","UTILITIES CUSTOMER CONNECTIONS","$26,054.50"
"TECHNICAL SUPPORT SPECIALIST","POLICE INFORMATION SERVICES","$26,000.00"
"BUS OPERATOR","RIDE","$25,954.21"
"CONSTRUCTION INSPECTOR","ENGINEERING","$25,931.02"
"ENV. EDUCATION SPECIALIST","NATURAL AREAS","$25,872.05"
"FORESTRY SPECIALIST-HOURLY","PARKS","$25,761.74"
"VOLUNTEER COORDINATOR/LIBRARY","LIBRARY DISTRICT","$25,630.22"
"MAINTENANCE HELPER","OPERATION SERVICES","$25,610.49"
"PARALEGAL","CITY ATTORNEY'S OFFICE","$25,515.02"
"ADMINISTRATIVE CLERK II - LIB","LIBRARY DISTRICT","$25,439.71"
"EXECUTIVE ADMINISTRATIVE ASST","CITY MANAGER'S OFFICE","$25,399.65"
"DEPUTY COURT CLERK I","MUNICIPAL COURT","$25,120.40"
"BUS OPERATOR","RIDE","$25,052.96"
"EQUIPMENT OPERATOR/ PARKS","PARKS","$25,002.50"
"CAMERA RADAR OPERATOR","PATROL","$24,996.50"
"RECREATION COORDINATOR","RECREATION","$24,986.42"
"FORESTRY FIELD WORKER II","PARKS","$24,960.00"
"FIELD TECHNICIAN","COMM DEV & NEIGHBORHOOD SVCS","$24,957.50"
"ACCOUNTS PAYABLE REP","UTILITY FINANCIAL OPERATIONS","$24,889.92"
"PROGRAM COORDINATOR","RECREATION","$24,870.00"
"ADMINISTRATIVE CLERK","LIBRARY DISTRICT","$24,854.95"
"EQUIPMENT OPERATOR/ PARKS","PARKS","$24,849.82"
"BLDG & DEV REVIEW TECH","COMM DEV & NEIGHBORHOOD SVCS","$24,802.36"
"UTILITY WORKER/ PARKS","PARKS","$24,721.50"
"LOCKS & ACCESS CONTROL SPEC","OPERATION SERVICES","$24,696.63"
"SAFETY ASSISTANT","SAFETY AND SECURITY","$24,672.00"
"BUS OPERATOR","RIDE","$24,615.31"
"FIRE SAFETY INSPECTOR","POUDRE FIRE AUTHORITY","$24,596.26"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$24,465.24"
"EQUIPMENT OPERATOR/ CEMETERY","PARKS","$24,400.04"
"EQUIPMENT OPERATOR/ PARKS","PARKS","$24,254.12"
"EQUIPMENT OPERATOR/ PARKS","PARKS","$24,253.50"
"LEARNING & DEVELOPMENT COORD.","HUMAN RESOURCES","$24,244.15"
"INTEGRATED LIBRARY SYS ADMNSTR","LIBRARY DISTRICT","$24,240.00"
"YOUTH INSTRUCTOR","RECREATION","$24,176.85"
"SECRETARY","STREETS","$24,096.95"
"CLERICAL AIDE","INVESTIGATIONS","$24,050.00"
"CONSULTANT","OPERATION SERVICES","$24,030.99"
"UTILITY WORKER/ PARKS","PARKS","$24,023.87"
"UTILITY WORKER/ PARKS","PARKS","$24,016.51"
"UTILITY WORKER/ PARKS","PARKS","$24,003.83"
"EQUIPMENT OPERATOR/ PARKS","PARKS","$23,942.14"
"RANGE MANAGER","OFFICE OF THE CHIEF","$23,832.90"
"FIGURE AND FREESTYLE COACH","RECREATION","$23,768.91"
"EQUIPMENT OPERATOR/ GOLF","PARKS","$23,739.21"
"CHEMIST","UT ENVIRONMENTAL SERVICES DIV","$23,721.89"
"UTILITY WORKER/ WATER","UT WATER PRODUCTION DIV","$23,717.48"
"BUS OPERATOR","RIDE","$23,708.45"
"LIBRARY ASSISTANT","LIBRARY DISTRICT","$23,697.87"
"ADMINISTRATIVE SUPPORT II","INVESTIGATIONS","$23,647.02"
"UTILITY WORKER/ WATER","UT DRAINAGE SYSTEM DIV","$23,611.20"
"ENGINEERING TECHNICIAN","UT WATER SYSTEMS ENGR DIV","$23,547.50"
"ZONING INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","$23,539.20"
"NATURAL AREAS-CREW MEMBER","NATURAL AREAS","$23,516.34"
"LIBRARY ASSISTANT","LIBRARY DISTRICT","$23,509.96"
"ADMINISTRATIVE CLERK I","ACCOUNTING AND TREASURY","$23,434.60"
"COMMUNICATIONS ASSISTANT","LIBRARY DISTRICT","$23,415.69"
"ANSWER CENTER TECHNICIAN","LIBRARY DISTRICT","$23,338.82"
"BUS OPERATOR-INACTIVE","RIDE","$23,303.51"
"LIBRARY ASSISTANT","LIBRARY DISTRICT","$23,213.55"
"WATER METER SYSTEMS OPERATOR","UT STANDARDS ENGINEERING DIV","$23,128.05"
"HISTORIC PRESERVATION PLANNER","COMM DEV & NEIGHBORHOOD SVCS","$22,993.59"
"ADMINISTRATIVE AIDE","INVESTIGATIONS","$22,849.27"
"UTILITY WORKER- STRTS/TRAFFIC","TRAFFIC","$22,819.07"
"WASTE REDUCT/REC PROG ASST I","PARKS","$22,672.26"
"NATURAL AREAS-CREW MEMBER","NATURAL AREAS","$22,660.44"
"FIRE SAFETY INSPECTOR","POUDRE FIRE AUTHORITY","$22,543.04"
"BUS FUELER","OPERATION SERVICES","$22,504.06"
"EQUIPMENT OPERATOR/ PARKS","PARKS","$22,470.06"
"NATURAL AREAS-CREW MEMBER","NATURAL AREAS","$22,413.26"
"PERFORMING ARTS CENTER MGR","CULTURAL SERVICES","$22,377.74"
"PUBLICITY MARKETING TECH","UTILITIES CUSTOMER CONNECTIONS","$22,255.00"
"ADMINISTRATIVE AIDE","CITY CLERK'S OFFICE","$22,232.32"
"FACILITY MAINTENANCE WORKER","OPERATION SERVICES","$22,212.61"
"EQUIPMENT OPERATOR/ PARKS","PARKS","$22,186.73"
"BUS OPERATOR","RIDE","$22,114.99"
"FIGURE AND FREESTYLE COACH","RECREATION","$21,971.13"
"UTILITY WORKER/ PARKS","PARKS","$21,955.36"
"NATURAL AREAS-CREW MEMBER","NATURAL AREAS","$21,941.13"
"EQUIPMENT OPERATOR/ PARKS","PARKS","$21,897.63"
"ANSWER CENTER TECHNICIAN","LIBRARY DISTRICT","$21,867.85"
"ADMINISTRATIVE CLERK II","UT STANDARDS ENGINEERING DIV","$21,849.28"
"UTILITY BILLING SUPV-INACTIVE","UTILITIES CUSTOMER CONNECTIONS","$21,772.25"
"MUSEUM COORDINATOR","CULTURAL SERVICES","$21,665.66"
"FITNESS INSTRUCTOR - SR CTR","RECREATION","$21,650.50"
"EQUIPMENT OPERATOR/ PARKS","PARKS","$21,631.56"
"EVENTS CONCIERGE","CULTURAL SERVICES","$21,626.57"
"UTILITY WORKER/ PARKS","PARKS","$21,607.75"
"FIRE SAFETY INSPECTOR","POUDRE FIRE AUTHORITY","$21,577.27"
"PUBLICITY MARKETING TECH","PARKING","$21,565.64"
"ADMINISTRATIVE CLERK II","CULTURAL SERVICES","$21,492.73"
"ACCREDITATION MANAGER","OFFICE OF THE CHIEF","$21,436.18"
"BUYER","PURCHASING","$21,415.38"
"SYSTEMS SPECIALIST","UTILITY TECH. & CUST. SERVICE","$21,329.58"
"METER READER SUPERVISOR","UT STANDARDS ENGINEERING DIV","$21,267.54"
"UTILITY FEE/RATE SPECIALIST","UTILITY FINANCIAL OPERATIONS","$21,231.00"
"EQUIPMENT OPERATOR/ PARKS","PARKS","$20,994.50"
"PARTS RUNNER","OPERATION SERVICES","$20,977.08"
"LINE GROUNDWORKER","ELECTRIC FIELD SERVICES","$20,808.31"
"UTILITY WORKER / WATER","UT DISTRIBUTION SYSTEM DIV","$20,741.33"
"AQUATICS PROGRAM LEADER","RECREATION","$20,673.02"
"ELECTRIC SYS OPERATIONS ASST","ELECTRIC FIELD SERVICES","$20,654.50"
"ENVIRONMENTAL REG. TECH.","UT ENVIRO REGULATORY AFFAIRS","$20,587.76"
"MUSEUM ASSISTANT","CULTURAL SERVICES","$20,538.90"
"UTILITY WORKER/ PARKS","PARKS","$20,446.50"
"LCC TECHNICAL AIDE II","CULTURAL SERVICES","$20,441.05"
"CAMERA RADAR OPERATOR","PATROL","$20,435.30"
"FITNESS INSTRUCTOR","RECREATION","$20,304.65"
"ENERGY CODE COMPLIANCE SPEC","UTILITIES CUSTOMER CONNECTIONS","$20,178.34"
"FIRE SAFETY INSPECTOR","POUDRE FIRE AUTHORITY","$20,169.97"
"UTILITY WORKER/ PARKS","PARKS","$20,003.00"
"LIBRARY DIRECTOR","LIBRARY DISTRICT","$20,000.00"
"CLERICAL AIDE","CULTURAL SERVICES","$19,855.04"
"MECHANIC","OPERATION SERVICES","$19,819.75"
"UTILITY WORKER / WATER","UT DISTRIBUTION SYSTEM DIV","$19,796.73"
"PROGRAM COORDINATOR","RECREATION","$19,761.00"
"PROGRAM COORDINATOR","RECREATION","$19,749.40"
"PC HARDWR/SOFTWRE SPECIALIST","INFORMATION TECHNOLOGY","$19,710.27"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$19,669.73"
"PUBLICITY MARKETING SPECIALIST","CULTURAL SERVICES","$19,654.97"
"WATERSHED SPECIALIST","UT WATER PRODUCTION DIV","$19,571.00"
"COMPLIANCE INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","$19,483.99"
"ASSISTANT MUSEUM DIR-INACTIVE","CULTURAL SERVICES","$19,387.97"
"EQUIPMENT OPERATOR/ PARKS","PARKS","$19,368.59"
"NATURAL AREAS-CREW MEMBER","NATURAL AREAS","$19,205.15"
"PUBLICITY & MARKETING TECH","UTILITIES CUSTOMER CONNECTIONS","$19,202.76"
"ENV. EDUCATION SPECIALIST","NATURAL AREAS","$19,066.63"
"ADMINISTRATIVE CLERK I","PARKS","$18,954.60"
"TRUCK DRIVER-STREETS","STREETS","$18,859.50"
"SCALE HOUSE ATTENDANT","STREETS","$18,675.75"
"BUS OPERATOR","RIDE","$18,636.76"
"PLANNING TECHNICIAN","COMM DEV & NEIGHBORHOOD SVCS","$18,550.48"
"ADMINISTRATIVE ASSISTANT","UT WATER SYSTEMS ENGR DIV","$18,538.08"
"CONSTRUCTION INSPECTOR","STREETS","$18,468.76"
"CAPITAL PLNNG & GRANT COMP MGR","RIDE","$18,461.52"
"BUS OPERATOR","RIDE","$18,431.42"
"SYS INTEGRATOR/NETWK ADMINIST","INFORMATION TECHNOLOGY","$18,379.39"
"DEPUTY COURT CLERK I","MUNICIPAL COURT","$18,337.74"
"UTILITY WORKER/ PARKS","PARKS","$18,332.38"
"CLERICAL AIDE","SAFETY, SECURITY, & RISK MGMT.","$18,325.00"
"FIREFIGHTER INTRO - 56 HR/WK","POUDRE FIRE AUTHORITY","$18,311.93"
"NATURAL AREAS-CREW MEMBER","NATURAL AREAS","$18,308.60"
"INTERN","POLICE INFORMATION SERVICES","$18,298.78"
"BUS OPERATOR","RIDE","$18,150.28"
"SAFETY ASSISTANT","SAFETY, SECURITY, & RISK MGMT.","$18,142.99"
"UTILITY WORKER/ PARKS","PARKS","$18,102.88"
"FIREFIGHTER INTRO - 56 HR/WK","POUDRE FIRE AUTHORITY","$18,044.55"
"BUS OPERATOR","RIDE","$18,034.23"
"FIREFIGHTER INTRO - 56 HR/WK","POUDRE FIRE AUTHORITY","$18,032.36"
"FIREFIGHTER INTRO - 56 HR/WK","POUDRE FIRE AUTHORITY","$18,032.36"
"UTILITY WORKER / WATER","UT WTR RECLAMA & BIOSOLIDS DIV","$18,002.04"
"MAINTENANCE TECH - ELECTRICIAN","OPERATION SERVICES","$17,914.26"
"BUS OPERATOR","RIDE","$17,901.32"
"FORESTRY FIELD WORKER II","PARKS","$17,867.50"
"MAINTENANCE TECH - BUILDING","OPERATION SERVICES","$17,846.74"
"ANSWER CENTER TECHNICIAN","LIBRARY DISTRICT","$17,704.35"
"ADMINISTRATIVE CLERK I","INFORMATION TECHNOLOGY","$17,646.78"
"CLERICAL AIDE","RECREATION","$17,629.30"
"POTTERY STUDIO DIRECTOR","RECREATION","$17,362.50"
"CLIMATE ECONOMY ADVISOR","ECONOMIC HEALTH OFFICE","$17,326.91"
"BIBLIOGRAPHIC SERVICES SPEC","LIBRARY DISTRICT","$17,302.08"
"BIBLIOGRAPHIC SERVICES SPEC","LIBRARY DISTRICT","$17,302.08"
"ENVIRONMENTAL PLANNER","UTILITIES CUSTOMER CONNECTIONS","$17,277.89"
"EVENTS CONCIERGE","CULTURAL SERVICES","$17,226.55"
"UTILITY WORKER- STRTS/TRAFFIC","TRAFFIC","$17,225.40"
"LINE GROUNDWORKER/HOURLY","ELECTRIC FIELD SERVICES","$17,209.56"
"LIBRARIAN -NON PROFIT SERVICES","LIBRARY DISTRICT","$17,176.79"
"NATURAL AREAS-CREW MEMBER","NATURAL AREAS","$17,176.47"
"ALTERNATIVE PROGRAM COORD","RECREATION","$17,140.50"
"UTILITY WORKER / WATER","UT DISTRIBUTION SYSTEM DIV","$17,120.14"
"CONSTRUCTION INSPECTOR","ENGINEERING","$17,076.85"
"UTILITY WORKER/ PARKS","PARKS","$17,049.70"
"BLDG & DEV REVIEW TECH-INACTIV","COMM DEV & NEIGHBORHOOD SVCS","$17,035.61"
"ADMINISTRATIVE CLERK I","PURCHASING","$16,993.96"
"UTILITY WORKER/ PARKS","PARKS","$16,951.16"
"MAINTENANCE HELPER","OPERATION SERVICES","$16,893.43"
"UTILITY WORKER/ PARKS","PARKS","$16,854.76"
"CLERICAL AIDE","POUDRE FIRE AUTHORITY","$16,851.50"
"BUS OPERATOR","RIDE","$16,754.16"
"CLERICAL AIDE","RECREATION","$16,724.98"
"ECONOMIC HEALTH DIR-INACTIVE","ECONOMIC HEALTH OFFICE","$16,652.01"
"CONSULTANT","COMM DEV & NEIGHBORHOOD SVCS","$16,631.25"
"CLERICAL AIDE","RECREATION","$16,598.94"
"LIBRARY SERVICES REP","LIBRARY DISTRICT","$16,566.07"
"UTILITY WORKER- STRTS/TRAFFIC","TRAFFIC","$16,548.75"
"MARKETING & PUBLICITY ASST","UTILITIES CUSTOMER CONNECTIONS","$16,495.18"
"INTERN","STREETS","$16,403.50"
"LIBRARY SERVICES REP","LIBRARY DISTRICT","$16,315.03"
"EQUIPMENT OPERATOR/ GOLF","PARKS","$16,140.00"
"LINE GROUNDWORKER/HOURLY","ELECTRIC FIELD SERVICES","$16,122.12"
"SECRETARY","OFFICE OF THE CHIEF","$16,061.00"
"EQUIPMENT OPERATOR/ PARKS","PARKS","$16,046.10"
"LIBRARY SERVICES REP","LIBRARY DISTRICT","$16,029.78"
"LIBRARY SERVICES REP","LIBRARY DISTRICT","$15,882.14"
"CUSTOMER SERVICE REP","L&P OPERATIONS SERVICE UNIT","$15,844.00"
"INTERN","ENVIRONMENTAL SERVICES","$15,834.30"
"RECORDS MANAGEMENT TECH","COMM DEV & NEIGHBORHOOD SVCS","$15,789.60"
"LIBRARIAN-CHILDREN & TEEN SVCS","LIBRARY DISTRICT","$15,736.52"
"TRANSIT PLANNER","RIDE","$15,735.00"
"INTERN","FC MOVES","$15,657.48"
"LIBRARY SERVICES REP","LIBRARY DISTRICT","$15,623.92"
"LIBRARY SERVICES REP","LIBRARY DISTRICT","$15,581.35"
"PARKING ATTENDANT","PARKING","$15,579.54"
"PC SUPPORT SPECIALIST","POLICE INFORMATION SERVICES","$15,528.35"
"PARKING ATTENDANT","PARKING","$15,521.41"
"NATURAL AREAS-CREW MEMBER","NATURAL AREAS","$15,498.25"
"PUBLICITY & MARKETING TECH","UTILITIES CUSTOMER CONNECTIONS","$15,481.00"
"GRAPHICS SPECIALIST","LIBRARY DISTRICT","$15,417.56"
"CAPITAL PLNNG & GRANT COMP MGR","RIDE","$15,384.60"
"FACILITY ATTENDANT","RECREATION","$15,375.37"
"BIBLIOGRAPHIC SERVICES SPEC","LIBRARY DISTRICT","$15,370.59"
"BUS OPERATOR","RIDE","$15,320.00"
"FARM WORKER","RECREATION","$15,288.00"
"EQUIPMENT OPERATOR/ GOLF","PARKS","$15,258.90"
"ADMINISTRATIVE CLERK I","CITY CLERK'S OFFICE","$15,236.60"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","$15,212.13"
"INTERN","UT WATER SYSTEMS ENGR DIV","$15,134.00"
"UTILITY WORKER/ GOLF","PARKS","$15,123.50"
"WATER SUPPLY OPERATOR","UT WATER PRODUCTION DIV","$15,119.00"
"UTILITY WORKER/ PARKS","PARKS","$15,015.38"
"SKATE GUARD","RECREATION","$14,931.36"
"LIBRARY SERVICES REP","LIBRARY DISTRICT","$14,915.17"
"TRUCK DRIVER-STREETS","STREETS","$14,715.14"
"LIBRARY SERVICES REP","LIBRARY DISTRICT","$14,713.69"
"LIBRARY SERVICES REP","LIBRARY DISTRICT","$14,570.12"
"PARKING ATTENDANT","PARKING","$14,561.69"
"EQUIPMENT OPERATOR/ PARKS","PARKS","$14,526.80"
"LIBRARY SERVICES REP","LIBRARY DISTRICT","$14,492.36"
"COURT BALIFF","MUNICIPAL COURT","$14,487.78"
"FINANCIAL ANALYST","RIDE","$14,473.93"
"HORTICULTURIST","UTILITIES CUSTOMER CONNECTIONS","$14,411.34"
"PARKING ATTENDANT","PARKING","$14,339.99"
"UTILITY WORKER/ PARKS","PARKS","$14,333.50"
"UTILITY WORKER/ PARKS","PARKS","$14,320.63"
"EQUIPMENT OPERATOR/ PARKS","PARKS","$14,311.50"
"LIBRARIAN - BUSINESS SERVICES","LIBRARY DISTRICT","$14,310.58"
"LIBRARIAN -CHILDREN'S SERVICES","LIBRARY DISTRICT","$14,309.70"
"UTILITY WORKER / WATER","UT COLLECTION SYSTEM DIV","$14,308.80"
"WASTE REDUCT/REC PROG ASST II","ENVIRONMENTAL SERVICES","$14,270.75"
"PUBLICITY MARKETING TECH","RECREATION","$14,254.16"
"EQUIPMENT OPERATOR/ GOLF","PARKS","$14,195.50"
"PULSE POINT PROJECT MANAGER","POUDRE FIRE AUTHORITY","$14,183.96"
"UTILITY WORKER/ PARKS","PARKS","$14,130.34"
"BUS OPERATOR","RIDE","$14,114.42"
"EQUIPMENT OPERATOR/ PARKS","PARKS","$14,060.50"
"ASSOC ENVIRONMENTAL PLANNER","ENVIRONMENTAL SERVICES","$14,057.72"
"CLERICAL AIDE","INVESTIGATIONS","$14,056.00"
"LINE GROUNDWORKER/HRLY-INACTVE","ELECTRIC FIELD SERVICES","$14,037.40"
"RESEARCH ASSISTANT","ENVIRONMENTAL SERVICES","$14,004.00"
"DEPUTY COURT CLERK I","MUNICIPAL COURT","$13,989.08"
"PARKING ATTENDANT","PARKING","$13,975.53"
"SKATE GUARD","RECREATION","$13,951.76"
"EQUIPMENT MAINTENANCE WORKER","OPERATION SERVICES","$13,917.59"
"LIBRARIAN-COLLECTN DEV ADULT","LIBRARY DISTRICT","$13,897.20"
"LIBRARIAN-COLLECTN DEV CHILDRN","LIBRARY DISTRICT","$13,882.20"
"PARKING ATTENDANT","PARKING","$13,864.24"
"EXHIBIT WORKER","CULTURAL SERVICES","$13,852.90"
"MAYOR","CITY COUNCIL","$13,824.00"
"LINE GROUNDWORKER/HRLY-INACTVE","ELECTRIC FIELD SERVICES","$13,790.40"
"LIBRARIAN - EARLY LITERACY","LIBRARY DISTRICT","$13,755.18"
"LINE GROUNDWORKER/HRLY-INACTVE","ELECTRIC FIELD SERVICES","$13,752.40"
"CONSULTANT","POLICE INFORMATION SERVICES","$13,744.57"
"LIBRARY SERVICES REP","LIBRARY DISTRICT","$13,692.81"
"LIBRARY AIDE II","LIBRARY DISTRICT","$13,650.27"
"UTILITY WORKER/ PARKS","PARKS","$13,527.50"
"LIBRARIAN - TEEN SERVICES","LIBRARY DISTRICT","$13,525.32"
"CLERICAL AIDE","CULTURAL SERVICES","$13,497.90"
"LIBRARIAN - TEEN SERVICES","LIBRARY DISTRICT","$13,420.38"
"FORESTRY FIELD WORKER I","PARKS","$13,377.38"
"LIBRARY SERVICES REP","LIBRARY DISTRICT","$13,377.29"
"CLERICAL AIDE","RECREATION","$13,370.80"
"LIBRARIAN - GENERALIST","LIBRARY DISTRICT","$13,321.02"
"EQUIPMENT OPERATOR/ GOLF","PARKS","$13,296.90"
"PROGRAM COORDINATOR","RECREATION","$13,296.24"
"FACILITY ATTENDANT","RECREATION","$13,274.15"
"CLERICAL AIDE","RECREATION","$13,233.10"
"EQUIPMENT OPERATOR/ PARKS","PARKS","$13,151.00"
"UTILITIES SYSTEMS PROJECT MGR","UT WATER SYSTEMS ENGR DIV","$13,145.60"
"FACILITY ATTENDANT","RECREATION","$13,111.43"
"AQUATICS MANAGER","RECREATION","$13,093.69"
"LIBRARIAN - ADULT SERVICES","LIBRARY DISTRICT","$13,090.86"
"ENVIRONMENTAL PLANNER","COMM DEV & NEIGHBORHOOD SVCS","$13,029.63"
"WEB APPLICATIONS DEVELOPER","LIBRARY DISTRICT","$12,976.56"
"BUS OPERATOR-INACTIVE","RIDE","$12,877.23"
"ADMINISTRATIVE CLERK","LIBRARY DISTRICT","$12,863.06"
"SUBSTITUTE LIBRARY ASSISTANT","LIBRARY DISTRICT","$12,777.87"
"UTILITY WORKER- STRTS/TRAFFIC","TRAFFIC","$12,724.47"
"TRAFFIC CONTROL SUPERVISOR","STREETS","$12,693.46"
"UTILITY WORKER/ PARKS","PARKS","$12,676.50"
"INTERN","ENVIRONMENTAL SERVICES","$12,664.00"
"UTILITY WORKER/ PARKS","PARKS","$12,613.40"
"PROGRAM COORDINATOR","RECREATION","$12,441.00"
"AQUATICS MANAGER","RECREATION","$12,382.37"
"POLICE CORPORAL","PATROL","$12,375.38"
"INTERN","UT WATER SYSTEMS ENGR DIV","$12,330.00"
"EQUIPMENT OPERATOR/ PARKS","PARKS","$12,320.24"
"CLERICAL AIDE","RECREATION","$12,308.27"
"BUS OPERATOR-INACTIVE","RIDE","$12,303.73"
"BIBLIOGRAPHIC SERVICES SPEC","LIBRARY DISTRICT","$12,203.81"
"INTERN","UTILITIES CUSTOMER CONNECTIONS","$12,148.73"
"SUBSTITUTE LIBRARIAN","LIBRARY DISTRICT","$12,084.65"
"ADMINISTRATIVE CLERK","LIBRARY DISTRICT","$12,052.56"
"BUS FUELER","OPERATION SERVICES","$12,038.47"
"LIBRARIAN - OUTREACH SERVICES","LIBRARY DISTRICT","$12,019.80"
"HISTORIC PRESERVATION PLANNER","COMM DEV & NEIGHBORHOOD SVCS","$12,015.00"
"DATA ENTRY CLERK","OPERATION SERVICES","$12,012.00"
"LINE GROUNDWORKER/HOURLY","ELECTRIC FIELD SERVICES","$12,005.00"
"BUS OPERATOR-INACTIVE","RIDE","$11,983.02"
"BLDG & DEV REVIEW TECH","COMM DEV & NEIGHBORHOOD SVCS","$11,964.01"
"LIBRARY ASSISTANT","LIBRARY DISTRICT","$11,948.81"
"TRUCK DRIVER-STREETS","STREETS","$11,947.32"
"SECRETARY","OPERATION SERVICES","$11,909.35"
"POLICE CORPORAL","PATROL","$11,907.80"
"FACILITY ATTENDANT","RECREATION","$11,829.24"
"UTILITY WORKER/ LP","ELECTRIC FIELD SERVICES","$11,815.50"
"LIBRARIAN - ADULT SERVICES","LIBRARY DISTRICT","$11,806.14"
"BUS OPERATOR-INACTIVE","RIDE","$11,789.43"
